Time: 7.497, x: 2.98073e-06, y: -5.93112, z: 1.25029, phi: 0.000611703, theta: 4.96975e-08, psi: 3.50623e-11
Time: 7.537, x: 3.02917e-06, y: -5.91751, z: 1.25029, phi: 0.000485579, theta: 5.28117e-08, psi: 3.40943e-11
Time: 7.577, x: 3.08177e-06, y: -5.9032, z: 1.25029, phi: 0.000341204, theta: 5.64276e-08, psi: 2.99772e-11
Time: 7.617, x: 3.13201e-06, y: -5.88998, z: 1.25029, phi: 0.000275702, theta: 5.93957e-08, psi: 1.88357e-11
Time: 7.655, x: 3.18527e-06, y: -5.8764, z: 1.25029, phi: 0.00026212, theta: 6.21593e-08, psi: 1.24106e-12
Time: 7.694, x: 3.24028e-06, y: -5.86282, z: 1.25029, phi: 0.000265862, theta: 6.49842e-08, psi: -1.70788e-11
Time: 7.73, x: 3.29717e-06, y: -5.84926, z: 1.25055, phi: 0.000280683, theta: 6.79993e-08, psi: -3.20527e-11
Time: 7.772, x: 3.356e-06, y: -5.8357, z: 1.25092, phi: 0.000339134, theta: 7.08753e-08, psi: -4.41098e-11
Time: 7.811, x: 3.4152e-06, y: -5.82251, z: 1.25127, phi: 0.000404958, theta: 7.38655e-08, psi: -5.06264e-11
Time: 7.849, x: 3.47635e-06, y: -5.80933, z: 1.2515, phi: 0.000440098, theta: 7.75056e-08, psi: -4.87131e-11
Time: 7.889, x: 3.53782e-06, y: -5.79651, z: 1.25161, phi: 0.000429688, theta: 8.1845e-08, psi: -3.79084e-11
Time: 7.928, x: 3.60491e-06, y: -5.783, z: 1.25161, phi: 0.000351739, theta: 8.75922e-08, psi: -1.73869e-11
Time: 7.967, x: 3.67259e-06, y: -5.76986, z: 1.25151, phi: 0.000263874, theta: 9.36437e-08, psi: 3.06361e-12
Time: 8.006, x: 3.77786e-06, y: -5.75033, z: 1.25125, phi: 0.000157122, theta: 1.03052e-07, psi: 2.04008e-11
Time: 8.045, x: 3.85206e-06, y: -5.7372, z: 1.25104, phi: 8.52286e-05, theta: 1.10075e-07, psi: 2.10278e-11
Time: 8.084, x: 3.93132e-06, y: -5.72371, z: 1.25082, phi: -6.07091e-06, theta: 1.18326e-07, psi: 1.55131e-11
Time: 8.124, x: 4.01391e-06, y: -5.71023, z: 1.25063, phi: -0.000106095, theta: 1.27691e-07, psi: 6.35535e-12
Time: 8.158, x: 4.09779e-06, y: -5.69709, z: 1.25047, phi: -0.000212743, theta: 1.37956e-07, psi: -4.36232e-12
Time: 8.196, x: 4.1878e-06, y: -5.6836, z: 1.25036, phi: -0.000284365, theta: 1.48622e-07, psi: -2.23164e-11
