Time: 13.987, x: 3.90407e-05, y: -3.12182, z: 1.25
Time: 14.054, x: 4.20332e-05, y: -3.09611, z: 1.25
Time: 14.126, x: 4.38205e-05, y: -3.07045, z: 1.25
Time: 14.193, x: 4.44361e-05, y: -3.05039, z: 1.25
Time: 14.262, x: 4.42375e-05, y: -3.02523, z: 1.25
Time: 14.325, x: 4.34203e-05, y: -3.00594, z: 1.25
Time: 14.383, x: 4.20979e-05, y: -2.98699, z: 1.25
Time: 14.448, x: 3.94966e-05, y: -2.96122, z: 1.25
Time: 14.515, x: 3.63506e-05, y: -2.93565, z: 1.25
Time: 14.579, x: 3.34708e-05, y: -2.916, z: 1.25
Time: 14.643, x: 3.04112e-05, y: -2.89701, z: 1.25
Time: 14.703, x: 2.59566e-05, y: -2.87152, z: 1.25
Time: 14.767, x: 2.24983e-05, y: -2.85253, z: 1.25
Time: 14.829, x: 1.73086e-05, y: -2.82749, z: 1.25
Time: 14.886, x: 1.40389e-05, y: -2.80761, z: 1.25
Time: 14.944, x: 1.05743e-05, y: -2.78891, z: 1.25
Time: 15.002, x: 7.15615e-06, y: -2.77025, z: 1.25
Time: 15.06, x: 3.74618e-06, y: -2.75084, z: 1.25
Time: 15.122, x: 4.37885e-07, y: -2.73106, z: 1.25
Time: 15.188, x: -3.4742e-06, y: -2.70532, z: 1.25
Time: 15.253, x: -6.90811e-06, y: -2.67984, z: 1.25
Time: 15.327, x: -9.32952e-06, y: -2.65951, z: 1.25
Time: 15.389, x: -1.1933e-05, y: -2.63381, z: 1.25
Time: 15.453, x: -1.35814e-05, y: -2.61407, z: 1.25
Time: 15.52, x: -1.53367e-05, y: -2.58689, z: 1.25
Time: 15.585, x: -1.62326e-05, y: -2.56735, z: 1.25
Time: 15.647, x: -1.69713e-05, y: -2.54104, z: 1.25
Time: 15.705, x: -1.71942e-05, y: -2.52034, z: 1.25
Time: 15.763, x: -1.71271e-05, y: -2.50039, z: 1.25
Time: 15.826, x: -1.68e-05, y: -2.48022, z: 1.25
Time: 15.881, x: -1.62423e-05, y: -2.46045, z: 1.25
Time: 15.937, x: -1.54404e-05, y: -2.44005, z: 1.25
Time: 15.997, x: -1.44556e-05, y: -2.41995, z: 1.25
Time: 16.056, x: -1.33e-05, y: -2.3999, z: 1.25
Time: 16.114, x: -1.19999e-05, y: -2.37997, z: 1.25
Time: 16.168, x: -1.06075e-05, y: -2.36039, z: 1.25
Time: 16.224, x: -9.07112e-06, y: -2.34014, z: 1.25
Time: 16.278, x: -7.4666e-06, y: -2.31989, z: 1.25
Time: 16.338, x: -5.79345e-06, y: -2.29944, z: 1.25
Time: 16.394, x: -4.13387e-06, y: -2.27929, z: 1.25
Time: 16.45, x: -2.48434e-06, y: -2.25917, z: 1.25
Time: 16.505, x: -9.51888e-07, y: -2.24011, z: 1.25
Time: 16.562, x: 6.13857e-07, y: -2.21996, z: 1.25
Time: 16.617, x: 2.05616e-06, y: -2.20059, z: 1.25
Time: 16.672, x: 3.43971e-06, y: -2.18088, z: 1.25
Time: 16.727, x: 4.72332e-06, y: -2.16124, z: 1.25
Time: 16.775, x: 5.93698e-06, y: -2.14081, z: 1.25
Time: 16.82, x: 6.65905e-06, y: -2.12747, z: 1.25
Time: 16.866, x: 7.32257e-06, y: -2.11412, z: 1.25
Time: 16.912, x: 8.15114e-06, y: -2.09552, z: 1.25
Time: 16.959, x: 8.89571e-06, y: -2.07585, z: 1.25
Time: 17.003, x: 9.29887e-06, y: -2.0632, z: 1.25
Time: 17.049, x: 9.80165e-06, y: -2.04422, z: 1.25
Time: 17.094, x: 1.00764e-05, y: -2.03085, z: 1.25
Time: 17.138, x: 1.0279e-05, y: -2.01818, z: 1.25
Time: 17.181, x: 1.0492e-05, y: -1.99844, z: 1.25
Time: 17.226, x: 1.05574e-05, y: -1.98573, z: 1.25
Time: 17.271, x: 1.05644e-05, y: -1.96594, z: 1.25
Time: 17.309, x: 1.0501e-05, y: -1.95248, z: 1.25
Time: 17.347, x: 1.03869e-05, y: -1.93901, z: 1.25
Time: 17.388, x: 1.02241e-05, y: -1.92553, z: 1.25
Time: 17.428, x: 1.00167e-05, y: -1.91203, z: 1.25
Time: 17.466, x: 9.775e-06, y: -1.89888, z: 1.25
Time: 17.505, x: 9.48903e-06, y: -1.88534, z: 1.25
Time: 17.546, x: 9.16773e-06, y: -1.87178, z: 1.25
Time: 17.584, x: 8.84394e-06, y: -1.85927, z: 1.25
Time: 17.624, x: 8.46588e-06, y: -1.84566, z: 1.25
