Time: 21.167, x: -2.21235e-06, y: -4.67968, z: 1.25
Time: 21.207, x: -2.17923e-06, y: -4.67062, z: 1.25
Time: 21.251, x: -2.14687e-06, y: -4.66234, z: 1.25
Time: 21.294, x: -2.107e-06, y: -4.6496, z: 1.25
Time: 21.338, x: -2.0752e-06, y: -4.64107, z: 1.25
Time: 21.382, x: -2.04483e-06, y: -4.63306, z: 1.25
Time: 21.425, x: -2.00806e-06, y: -4.62076, z: 1.25
Time: 21.464, x: -1.98129e-06, y: -4.61294, z: 1.25
Time: 21.511, x: -1.95021e-06, y: -4.60388, z: 1.25
Time: 21.555, x: -1.91644e-06, y: -4.59188, z: 1.25
Time: 21.6, x: -1.88942e-06, y: -4.58383, z: 1.25
Time: 21.642, x: -1.86449e-06, y: -4.57603, z: 1.25
Time: 21.684, x: -1.84026e-06, y: -4.56825, z: 1.25
Time: 21.727, x: -1.81037e-06, y: -4.55629, z: 1.25
Time: 21.768, x: -1.78758e-06, y: -4.54833, z: 1.25
Time: 21.81, x: -1.76518e-06, y: -4.54039, z: 1.25
Time: 21.853, x: -1.74311e-06, y: -4.53244, z: 1.25
Time: 21.897, x: -1.71661e-06, y: -4.52073, z: 1.25
Time: 21.941, x: -1.69562e-06, y: -4.51278, z: 1.25
Time: 21.985, x: -1.67363e-06, y: -4.50355, z: 1.25
Time: 22.028, x: -1.65422e-06, y: -4.49575, z: 1.25
Time: 22.069, x: -1.63129e-06, y: -4.48395, z: 1.25
Time: 22.108, x: -1.61381e-06, y: -4.47614, z: 1.25
Time: 22.151, x: -1.59543e-06, y: -4.46789, z: 1.25
Time: 22.192, x: -1.57834e-06, y: -4.46006, z: 1.25
Time: 22.232, x: -1.56187e-06, y: -4.45223, z: 1.25
Time: 22.273, x: -1.54535e-06, y: -4.44419, z: 1.25
Time: 22.318, x: -1.52455e-06, y: -4.43211, z: 1.25
Time: 22.355, x: -1.50982e-06, y: -4.42426, z: 1.25
Time: 22.4, x: -1.49381e-06, y: -4.41639, z: 1.25
Time: 22.442, x: -1.47542e-06, y: -4.40483, z: 1.25
Time: 22.482, x: -1.46058e-06, y: -4.39644, z: 1.25
Time: 22.52, x: -1.44672e-06, y: -4.38844, z: 1.25
Time: 22.563, x: -1.43219e-06, y: -4.38039, z: 1.25
Time: 22.605, x: -1.41808e-06, y: -4.37232, z: 1.25
Time: 22.649, x: -1.40034e-06, y: -4.35987, z: 1.25
Time: 22.684, x: -1.39111e-06, y: -4.3557, z: 1.25
Time: 22.726, x: -1.37428e-06, y: -4.34319, z: 1.25
Time: 22.77, x: -1.36067e-06, y: -4.3348, z: 1.25
Time: 22.816, x: -1.34715e-06, y: -4.32662, z: 1.25
Time: 22.859, x: -1.33091e-06, y: -4.31378, z: 1.24999
Time: 22.901, x: -1.31804e-06, y: -4.30489, z: 1.24999
Time: 22.943, x: -1.30587e-06, y: -4.29665, z: 1.24998
Time: 22.982, x: -1.29417e-06, y: -4.28818, z: 1.24998
Time: 23.025, x: -1.28211e-06, y: -4.2797, z: 1.24998
Time: 23.063, x: -1.2711e-06, y: -4.27145, z: 1.24998
Time: 23.106, x: -1.2569e-06, y: -4.25918, z: 1.24998
Time: 23.145, x: -1.24632e-06, y: -4.25116, z: 1.24998
Time: 23.183, x: -1.2359e-06, y: -4.24292, z: 1.24998
Time: 23.22, x: -1.22579e-06, y: -4.2347, z: 1.24999
Time: 23.265, x: -1.21468e-06, y: -4.22628, z: 1.24999
Time: 23.305, x: -1.20224e-06, y: -4.21435, z: 1.24999
Time: 23.351, x: -1.19106e-06, y: -4.20532, z: 1.24999
Time: 23.393, x: -1.18095e-06, y: -4.19695, z: 1.25
Time: 23.432, x: -1.17147e-06, y: -4.18878, z: 1.25
Time: 23.477, x: -1.15913e-06, y: -4.17659, z: 1.25
Time: 23.514, x: -1.15195e-06, y: -4.17148, z: 1.25
Time: 23.554, x: -1.14265e-06, y: -4.16304, z: 1.25
Time: 23.592, x: -1.13166e-06, y: -4.15084, z: 1.25
Time: 23.635, x: -1.12212e-06, y: -4.14198, z: 1.25
Time: 23.678, x: -1.1131e-06, y: -4.13378, z: 1.25
Time: 23.723, x: -1.1039e-06, y: -4.12537, z: 1.25
Time: 23.765, x: -1.09484e-06, y: -4.11632, z: 1.25
Time: 23.806, x: -1.08429e-06, y: -4.10376, z: 1.25
Time: 23.851, x: -1.0757e-06, y: -4.09559, z: 1.25
Time: 23.896, x: -1.06726e-06, y: -4.08742, z: 1.25
Time: 23.935, x: -1.05758e-06, y: -4.07511, z: 1.25
Time: 23.979, x: -1.04955e-06, y: -4.067, z: 1.25
Time: 24.019, x: -1.04132e-06, y: -4.05734, z: 1.25
Time: 24.06, x: -1.03382e-06, y: -4.0492, z: 1.25
Time: 24.1, x: -1.02642e-06, y: -4.04085, z: 1.25
Time: 24.144, x: -1.01889e-06, y: -4.03273, z: 1.25
Time: 24.185, x: -1.00988e-06, y: -4.02026, z: 1.25
Time: 24.228, x: -1.00261e-06, y: -4.01195, z: 1.25
Time: 24.269, x: -9.95713e-07, y: -4.00386, z: 1.25
Time: 24.309, x: -9.8891e-07, y: -3.99553, z: 1.25
Time: 24.357, x: -9.79986e-07, y: -3.98328, z: 1.25
Time: 24.394, x: -9.7384e-07, y: -3.97541, z: 1.25
Time: 24.437, x: -9.67033e-07, y: -3.96687, z: 1.25
Time: 24.482, x: -9.60326e-07, y: -3.95875, z: 1.25
Time: 24.524, x: -9.52405e-07, y: -3.94648, z: 1.25
Time: 24.567, x: -9.45991e-07, y: -3.93815, z: 1.25
Time: 24.609, x: -9.39667e-07, y: -3.92961, z: 1.25
Time: 24.648, x: -9.33818e-07, y: -3.92152, z: 1.25
Time: 24.691, x: -9.27676e-07, y: -3.91321, z: 1.25
Time: 24.734, x: -9.20202e-07, y: -3.90078, z: 1.25
Time: 24.774, x: -9.14553e-07, y: -3.89272, z: 1.25
