Time: 10.797, Fy: 0.12803, U1: 27.3491, U2: 0.00537653, U3: -4.47064e-06, U4: 4.93484e-07
Time: 10.841, Fy: 0.129109, U1: 27.3494, U2: 0.00586667, U3: -4.18335e-06, U4: 4.54496e-07
Time: 10.891, Fy: 0.123991, U1: 27.349, U2: 0.00482779, U3: -3.6404e-06, U4: 3.66726e-07
Time: 10.937, Fy: 0.127056, U1: 27.3488, U2: 0.00893107, U3: -3.37277e-06, U4: 3.00128e-07
Time: 10.983, Fy: 0.127055, U1: 27.3487, U2: 0.00845504, U3: -3.21367e-06, U4: 2.27006e-07
Time: 11.031, Fy: 0.125374, U1: 27.3486, U2: 0.00795062, U3: -2.66679e-06, U4: 1.33331e-07
Time: 11.08, Fy: 0.124649, U1: 27.3487, U2: 0.00578831, U3: -2.06177e-06, U4: 7.41595e-08
Time: 11.125, Fy: 0.12803, U1: 27.349, U2: 0.0077702, U3: -2.09931e-06, U4: 8.76474e-08
Time: 11.171, Fy: 0.127055, U1: 27.3489, U2: 0.00654271, U3: -1.73277e-06, U4: 9.88239e-08
Time: 11.212, Fy: 0.13283, U1: 27.3472, U2: 0.00594457, U3: -1.939e-06, U4: 1.5731e-07
Time: 11.265, Fy: 0.192342, U1: 27.3683, U2: 0.00425186, U3: 5.50917e-07, U4: 1.71025e-07
Time: 11.315, Fy: 0.123989, U1: 27.3492, U2: 0.00354514, U3: 5.68466e-07, U4: 2.14334e-07
