Time: 10.587, U1: 20.6781, U2: -0.000347055, U3: 0.000795452, U4: -2.72601e-07
Time: 10.626, U1: 20.678, U2: -0.00484741, U3: 0.00491496, U4: -8.03144e-08
Time: 10.665, U1: 20.678, U2: -0.00497118, U3: 0.00487622, U4: 1.4052e-07
Time: 10.704, U1: 20.678, U2: -0.00267425, U3: 0.00251064, U4: 2.59211e-07
Time: 10.743, U1: 20.678, U2: -0.000895133, U3: 0.000589852, U4: 3.77305e-07
Time: 10.781, U1: 20.6768, U2: 0.000620013, U3: -0.00100332, U4: 4.60609e-07
Time: 10.818, U1: 20.6755, U2: 0.00608754, U3: -0.00618474, U4: 6.14829e-07
Time: 10.859, U1: 20.6803, U2: 0.00320746, U3: -0.00337799, U4: 4.68886e-07
Time: 10.898, U1: 20.6788, U2: 0.00192908, U3: -0.00195404, U4: 3.76054e-07
Time: 10.937, U1: 20.6789, U2: 8.6301e-05, U3: 5.93927e-05, U4: 3.04752e-07
Time: 10.976, U1: 20.6785, U2: -0.00559382, U3: 0.00557132, U4: 3.71517e-07
Time: 11.015, U1: 20.6783, U2: -0.00173938, U3: 0.00203631, U4: 2.23196e-07
Time: 11.054, U1: 20.6781, U2: -0.000469155, U3: 0.00071062, U4: 1.76018e-08
Time: 11.093, U1: 20.6779, U2: 0.0020394, U3: -0.00186388, U4: -1.86158e-07
Time: 11.132, U1: 20.6778, U2: 0.00243524, U3: -0.00241762, U4: -3.31495e-07
Time: 11.172, U1: 20.6789, U2: 0.00202083, U3: -0.00209346, U4: -3.5357e-07
Time: 11.211, U1: 20.6778, U2: 0.00105704, U3: -0.00114643, U4: -2.36102e-07
Time: 11.25, U1: 20.6776, U2: 0.0044735, U3: -0.00422542, U4: 3.2857e-07
Time: 11.289, U1: 20.5074, U2: 0.000598864, U3: -0.000485787, U4: 2.98496e-07
Time: 11.328, U1: 20.4856, U2: -0.000935624, U3: 0.00107922, U4: 5.44091e-07
Time: 11.367, U1: 20.4922, U2: -0.00693037, U3: 0.00677245, U4: 7.51988e-07
Time: 11.406, U1: 20.5323, U2: -0.00742491, U3: 0.00720828, U4: 7.25234e-07
