Time: 365.768, x: 1.7447, y: 1.72457, z: 1.25006
Time: 365.804, x: 1.75222, y: 1.73136, z: 1.25006
Time: 365.84, x: 1.75953, y: 1.73797, z: 1.25006
Time: 365.877, x: 1.76473, y: 1.74267, z: 1.25005
Time: 365.91, x: 1.77261, y: 1.74982, z: 1.25005
Time: 365.946, x: 1.77991, y: 1.75644, z: 1.25004
Time: 365.982, x: 1.78509, y: 1.76115, z: 1.25004
Time: 366.018, x: 1.79256, y: 1.76795, z: 1.25003
Time: 366.053, x: 1.80002, y: 1.77475, z: 1.25002
Time: 366.089, x: 1.80729, y: 1.78137, z: 1.25002
Time: 366.125, x: 1.81244, y: 1.78607, z: 1.25001
Time: 366.161, x: 1.8199, y: 1.79287, z: 1.25001
Time: 366.197, x: 1.82733, y: 1.79966, z: 1.25001
Time: 366.233, x: 1.83475, y: 1.80644, z: 1.25
Time: 366.27, x: 1.84179, y: 1.81287, z: 1.25
Time: 366.307, x: 1.84711, y: 1.81773, z: 1.25
Time: 366.344, x: 1.85451, y: 1.8245, z: 1.25
Time: 366.381, x: 1.8619, y: 1.83126, z: 1.25
Time: 366.418, x: 1.8693, y: 1.83803, z: 1.25
Time: 366.455, x: 1.87671, y: 1.8448, z: 1.25
Time: 366.492, x: 1.88394, y: 1.85139, z: 1.25
Time: 366.529, x: 1.88928, y: 1.85626, z: 1.25
Time: 366.566, x: 1.89724, y: 1.86352, z: 1.25
Time: 366.603, x: 1.90512, y: 1.87068, z: 1.25
Time: 366.641, x: 1.91047, y: 1.87555, z: 1.25
Time: 366.679, x: 1.91789, y: 1.8823, z: 1.25
Time: 366.716, x: 1.92534, y: 1.88907, z: 1.25
Time: 366.753, x: 1.93279, y: 1.89583, z: 1.25
Time: 366.791, x: 1.94023, y: 1.90258, z: 1.25
Time: 366.83, x: 1.94767, y: 1.90933, z: 1.25
Time: 366.868, x: 1.9551, y: 1.91606, z: 1.25
Time: 366.905, x: 1.96249, y: 1.92276, z: 1.25
Time: 366.943, x: 1.96996, y: 1.92953, z: 1.25
Time: 366.982, x: 1.97738, y: 1.93625, z: 1.25
Time: 367.021, x: 1.9848, y: 1.94297, z: 1.25
Time: 367.06, x: 1.99222, y: 1.94969, z: 1.25
Time: 367.099, x: 1.99964, y: 1.95641, z: 1.25
Time: 367.138, x: 2.00708, y: 1.96313, z: 1.25
Time: 367.177, x: 2.01451, y: 1.96985, z: 1.25
Time: 367.212, x: 2.01945, y: 1.97432, z: 1.25
Time: 367.255, x: 2.02935, y: 1.98327, z: 1.25
Time: 367.294, x: 2.03677, y: 1.98998, z: 1.25
Time: 367.334, x: 2.04419, y: 1.99668, z: 1.25
Time: 367.372, x: 2.05159, y: 2.00337, z: 1.25
Time: 367.411, x: 2.05709, y: 2.00834, z: 1.25
Time: 367.45, x: 2.06447, y: 2.01502, z: 1.25
Time: 367.489, x: 2.07183, y: 2.02167, z: 1.25
Time: 367.528, x: 2.07918, y: 2.02834, z: 1.25
Time: 367.567, x: 2.08654, y: 2.03501, z: 1.25
Time: 367.607, x: 2.09595, y: 2.04354, z: 1.25
Time: 367.648, x: 2.10367, y: 2.05054, z: 1.25
Time: 367.688, x: 2.11099, y: 2.05719, z: 1.25
Time: 367.728, x: 2.11834, y: 2.06386, z: 1.25
Time: 367.769, x: 2.1257, y: 2.07054, z: 1.25
Time: 367.809, x: 2.13307, y: 2.07722, z: 1.25
Time: 367.849, x: 2.14043, y: 2.0839, z: 1.25
Time: 367.889, x: 2.14777, y: 2.09056, z: 1.25
Time: 367.928, x: 2.15512, y: 2.09723, z: 1.25
